Jugadores,MIN,PTS,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID,Inicialistas,#_MADE,#_ATTEMPT,TCC,TCI,2PC,2PI,3PC,3PI,TLC,TLI
Paula Fernandez,13.5,4.0,2.0,3.0,5.0,0.0,1.0,1.0,0.0,1.0,-8.0,6.0,Malvin,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,No,32.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0
Melody Osuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florencia Fernandez ,20.82,9.0,2.0,4.0,6.0,0.0,2.0,2.0,0.0,3.0,8.0,11.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,Sí,1.0,0.0,4.0,9.0,4.0,8.0,0.0,1.0,1.0,1.0
Stephanie Smidt,4.42,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,No,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0
Julia Fernandez ,33.8,20.0,4.0,7.0,11.0,0.0,4.0,3.0,3.0,0.0,5.0,28.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,Sí,5.0,0.0,9.0,12.0,9.0,12.0,0.0,0.0,2.0,2.0
Candela Foresto ,29.27,11.0,0.0,3.0,3.0,2.0,3.0,1.0,0.0,0.0,7.0,10.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,Sí,7.0,0.0,3.0,8.0,1.0,5.0,2.0,3.0,3.0,3.0
Mora Sauro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,No,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abril Romagnoli ,25.53,6.0,2.0,0.0,2.0,3.0,5.0,4.0,2.0,0.0,15.0,6.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,Sí,11.0,0.0,3.0,6.0,3.0,5.0,0.0,1.0,0.0,0.0
Lucila Sampietro,10.65,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,-4.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,No,13.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,1.0,2.0
Maribel Barzola,7.37,3.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,-6.0,2.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,No,14.0,0.0,1.0,4.0,0.0,2.0,1.0,2.0,0.0,0.0
Julieta Perez,20.38,7.0,3.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,3.0,8.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,No,16.0,0.0,2.0,4.0,2.0,3.0,0.0,1.0,3.0,5.0
Dalma Piri,11.18,0.0,0.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,No,23.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Micaela Gonzalez ,36.58,20.0,0.0,2.0,2.0,3.0,1.0,2.0,5.0,1.0,6.0,20.0,Ferro,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,Sí,24.0,0.0,5.0,13.0,2.0,6.0,3.0,7.0,7.0,8.0
Agustina Marin ,11.98,2.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,-9.0,-3.0,Malvin,Ferro,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,Sí,2.0,0.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,2.0
Maria Midaglia,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,Malvin,Ferro,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,No,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
